epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,288.39,0.79364,0.50575,1.17315,0.25933,0.27322,0.26108,0.19709,1.78446,3.96985,1.85022,0.000882409,0.000882409,0.000882409
58,292.281,0.8466,0.54729,1.21489,0.28105,0.27322,0.27374,0.21001,1.68681,3.70714,1.77656,0.000878354,0.000878354,0.000878354
59,297.285,0.86706,0.53754,1.19058,0.27647,0.27322,0.27166,0.21473,1.59014,3.5041,1.64737,0.000874241,0.000874241,0.000874241
60,301.011,0.81874,0.49065,1.20438,0.22883,0.27322,0.23278,0.18493,1.44401,3.33725,1.51704,0.000870069,0.000870069,0.000870069
61,304.787,0.79785,0.51496,1.21754,0.234,0.27036,0.24429,0.19467,1.43989,3.29983,1.53,0.000865839,0.000865839,0.000865839
62,308.682,0.87037,0.5419,1.25931,0.26835,0.26776,0.26839,0.20443,1.66233,3.63549,1.72268,0.000861553,0.000861553,0.000861553
63,313.032,0.8923,0.5653,1.2226,0.29802,0.26776,0.26796,0.2005,1.72353,3.79665,1.80094,0.00085721,0.00085721,0.00085721
64,317.11,0.86078,0.54431,1.19819,0.26755,0.27322,0.26621,0.2161,1.56465,3.75376,1.71275,0.000852812,0.000852812,0.000852812
65,321.157,0.84452,0.51834,1.24083,0.27073,0.26776,0.26207,0.21366,1.51108,3.65232,1.66526,0.000848358,0.000848358,0.000848358
66,325.727,0.82328,0.52829,1.20561,0.27068,0.2623,0.26402,0.21856,1.58369,3.74037,1.67283,0.000843851,0.000843851,0.000843851
67,329.728,0.79379,0.49189,1.17688,0.27726,0.27322,0.26764,0.21962,1.71259,3.95996,1.75832,0.00083929,0.00083929,0.00083929
68,333.254,0.86655,0.54995,1.27227,0.33152,0.27322,0.27282,0.20754,1.81322,4.06581,1.8893,0.000834676,0.000834676,0.000834676
69,336.821,0.84953,0.50823,1.23102,0.32413,0.27322,0.27167,0.21023,1.81799,4.07543,1.87956,0.00083001,0.00083001,0.00083001
70,342.699,0.84787,0.53726,1.21118,0.27563,0.2623,0.26981,0.21408,1.6878,3.7998,1.77728,0.000825293,0.000825293,0.000825293
71,346.36,0.76886,0.48736,1.15306,0.26629,0.26776,0.26649,0.20994,1.69098,3.76899,1.77906,0.000820525,0.000820525,0.000820525
72,349.917,0.86899,0.55499,1.24029,0.26544,0.25636,0.24554,0.1854,1.66172,3.64846,1.74203,0.000815707,0.000815707,0.000815707
73,353.754,0.79979,0.53772,1.17663,0.26554,0.2623,0.24654,0.17921,1.73978,3.70638,1.78868,0.000810841,0.000810841,0.000810841
74,358.586,0.84975,0.54809,1.19934,0.30051,0.27322,0.28026,0.2099,1.69786,3.71751,1.7388,0.000805925,0.000805925,0.000805925
75,362.569,0.77853,0.47925,1.17635,0.29789,0.27322,0.27869,0.21412,1.6259,3.93875,1.70237,0.000800963,0.000800963,0.000800963
76,366.133,0.89184,0.58468,1.27329,0.30227,0.27322,0.27638,0.21683,1.56684,4.27397,1.66347,0.000795954,0.000795954,0.000795954
77,371.402,0.81058,0.5195,1.21175,0.30656,0.27322,0.27392,0.21894,1.58306,4.44938,1.68558,0.000790898,0.000790898,0.000790898
78,375.465,0.82154,0.51212,1.20711,0.29869,0.27322,0.27326,0.2203,1.63246,4.31141,1.69956,0.000785798,0.000785798,0.000785798
79,379.005,0.80815,0.52862,1.1923,0.31735,0.27322,0.27404,0.21675,1.67778,4.04561,1.72707,0.000780653,0.000780653,0.000780653
80,382.586,0.73103,0.45044,1.18734,0.32374,0.27322,0.2756,0.21883,1.59816,3.74922,1.65936,0.000775465,0.000775465,0.000775465
81,387.708,0.84092,0.52863,1.21828,0.32281,0.27322,0.27691,0.21705,1.58032,3.6878,1.65612,0.000770234,0.000770234,0.000770234
82,391.679,0.73755,0.49814,1.16279,0.30376,0.26776,0.28015,0.2172,1.54324,3.59196,1.63431,0.000764961,0.000764961,0.000764961
