epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,730.445,0.96529,0.55664,1.25796,0.99322,1,0.995,0.73447,0.99445,0.40298,1.20072,0.000882409,0.000882409,0.000882409
58,743.025,0.96352,0.58941,1.26815,0.98885,0.99599,0.995,0.73897,0.9542,0.41368,1.1882,0.000878354,0.000878354,0.000878354
59,755.589,0.95607,0.58359,1.25454,0.98586,1,0.995,0.73219,0.91532,0.39137,1.16721,0.000874241,0.000874241,0.000874241
60,768.182,0.97608,0.61539,1.27422,0.99166,1,0.995,0.73161,0.91693,0.40041,1.15826,0.000870069,0.000870069,0.000870069
61,780.772,0.96893,0.59223,1.25768,0.99656,0.99763,0.995,0.744,0.91989,0.39429,1.16538,0.000865839,0.000865839,0.000865839
62,793.327,0.95161,0.56162,1.26036,0.99286,1,0.995,0.70028,1.13151,0.42803,1.27241,0.000861553,0.000861553,0.000861553
63,805.923,0.97177,0.58283,1.24786,0.9977,0.99953,0.995,0.72008,0.99378,0.40062,1.21226,0.00085721,0.00085721,0.00085721
64,818.486,0.95737,0.57035,1.23153,0.9797,0.9993,0.99495,0.74153,0.8754,0.42812,1.14884,0.000852812,0.000852812,0.000852812
65,831.081,0.9772,0.60928,1.25069,0.97638,0.97829,0.98435,0.66864,1.16883,0.4518,1.31216,0.000848358,0.000848358,0.000848358
66,843.801,0.93124,0.56767,1.23454,0.99764,1,0.995,0.72553,1.00003,0.39443,1.21129,0.000843851,0.000843851,0.000843851
67,856.354,0.93493,0.57284,1.23695,0.98784,1,0.995,0.7294,0.94363,0.39082,1.1623,0.00083929,0.00083929,0.00083929
68,868.911,0.94637,0.57043,1.24803,0.99605,0.99945,0.995,0.74465,0.94345,0.38411,1.16338,0.000834676,0.000834676,0.000834676
69,881.499,0.89609,0.55845,1.22042,0.97857,1,0.99463,0.72604,0.99186,0.40511,1.18337,0.00083001,0.00083001,0.00083001
70,894.11,0.92329,0.58707,1.22112,0.9703,0.99454,0.99323,0.76407,0.8758,0.39122,1.14224,0.000825293,0.000825293,0.000825293
71,906.699,0.90724,0.54039,1.22012,0.98957,0.99711,0.995,0.74256,0.9251,0.40678,1.15325,0.000820525,0.000820525,0.000820525
72,919.262,0.92609,0.57006,1.23212,0.99527,0.99682,0.995,0.74223,0.87437,0.39553,1.15299,0.000815707,0.000815707,0.000815707
73,931.831,0.90361,0.52604,1.21865,0.98678,1,0.995,0.76088,0.87106,0.37022,1.16162,0.000810841,0.000810841,0.000810841
74,944.395,0.89347,0.53412,1.21152,0.99035,1,0.995,0.71981,1.02256,0.40123,1.25264,0.000805925,0.000805925,0.000805925
75,956.97,0.93364,0.57144,1.25502,0.98269,0.99874,0.9913,0.73039,0.94933,0.38806,1.1734,0.000800963,0.000800963,0.000800963
76,969.541,0.91219,0.57245,1.24917,0.99636,1,0.995,0.71496,0.98948,0.39563,1.19117,0.000795954,0.000795954,0.000795954
77,982.121,0.91433,0.55796,1.21743,0.99185,1,0.995,0.71917,0.98371,0.38658,1.19829,0.000790898,0.000790898,0.000790898
78,994.716,0.90879,0.5414,1.21481,0.99444,1,0.995,0.72726,0.97228,0.37579,1.17948,0.000785798,0.000785798,0.000785798
79,1007.34,0.8833,0.53851,1.19725,0.99636,1,0.995,0.71082,1.05889,0.40737,1.22831,0.000780653,0.000780653,0.000780653
80,1019.9,0.88871,0.54961,1.17553,0.98858,1,0.995,0.73908,0.96762,0.39632,1.1753,0.000775465,0.000775465,0.000775465
81,1032.47,0.89432,0.53294,1.19122,0.99637,1,0.995,0.74089,0.9611,0.39344,1.19774,0.000770234,0.000770234,0.000770234
82,1045.03,0.90237,0.54294,1.21958,0.99194,1,0.995,0.74068,0.98468,0.38599,1.20284,0.000764961,0.000764961,0.000764961
83,1057.62,0.89939,0.53781,1.21481,0.99521,1,0.995,0.76141,0.87456,0.34911,1.12353,0.000759648,0.000759648,0.000759648
84,1070.23,0.87113,0.51728,1.20077,0.9965,1,0.995,0.7467,0.89444,0.35656,1.14393,0.000754293,0.000754293,0.000754293
85,1082.79,0.90254,0.54652,1.21243,0.99288,1,0.995,0.73941,0.8665,0.37014,1.144,0.0007489,0.0007489,0.0007489
86,1095.34,0.92598,0.55797,1.21958,0.99414,0.99992,0.995,0.74557,0.91959,0.36111,1.16693,0.000743468,0.000743468,0.000743468
87,1107.9,0.876,0.52384,1.20544,0.99233,0.99902,0.995,0.70223,1.02213,0.38235,1.24951,0.000737998,0.000737998,0.000737998
88,1120.47,0.90706,0.514,1.21232,0.99556,1,0.995,0.7744,0.86272,0.34439,1.12847,0.000732492,0.000732492,0.000732492
89,1133.09,0.93154,0.52738,1.23566,0.99754,0.99986,0.995,0.7193,0.99582,0.37486,1.226,0.00072695,0.00072695,0.00072695
90,1145.67,0.87255,0.4979,1.20013,0.99607,0.9936,0.995,0.75362,0.92647,0.37659,1.18415,0.000721372,0.000721372,0.000721372
91,1158.26,0.8679,0.5239,1.18935,0.99517,1,0.995,0.77919,0.8652,0.343,1.14979,0.000715761,0.000715761,0.000715761
92,1170.82,0.90107,0.50972,1.20482,0.99495,1,0.995,0.77325,0.84851,0.35043,1.12238,0.000710116,0.000710116,0.000710116
93,1183.38,0.87477,0.52817,1.1909,0.99641,1,0.995,0.80354,0.77597,0.33897,1.08896,0.000704439,0.000704439,0.000704439
94,1196.29,0.91087,0.54138,1.22711,0.99315,1,0.995,0.76901,0.87526,0.35442,1.12389,0.00069873,0.00069873,0.00069873
95,1208.85,0.86692,0.50117,1.19247,0.99224,1,0.995,0.77108,0.85979,0.35171,1.10964,0.000692991,0.000692991,0.000692991
96,1221.5,0.88127,0.52993,1.19802,0.99568,1,0.995,0.7637,0.86382,0.35968,1.11723,0.000687222,0.000687222,0.000687222
97,1234.07,0.85677,0.49541,1.18691,0.9947,1,0.995,0.77302,0.8367,0.35055,1.10953,0.000681424,0.000681424,0.000681424
98,1246.63,0.8703,0.51423,1.19215,0.99325,1,0.995,0.74737,0.91913,0.37378,1.14587,0.000675598,0.000675598,0.000675598
99,1259.21,0.87983,0.51378,1.20891,0.99486,1,0.995,0.74485,0.95251,0.36751,1.16486,0.000669746,0.000669746,0.000669746
100,1271.75,0.88802,0.53339,1.18862,0.99184,1,0.995,0.77378,0.873,0.35471,1.11655,0.000663867,0.000663867,0.000663867
101,1284.33,0.83158,0.50146,1.17837,0.9953,1,0.995,0.75737,0.90401,0.36416,1.13139,0.000657963,0.000657963,0.000657963
102,1296.92,0.83118,0.49618,1.16742,0.99606,0.99244,0.995,0.78666,0.77504,0.33816,1.0751,0.000652036,0.000652036,0.000652036
103,1309.49,0.85236,0.47399,1.1799,0.99785,0.995,0.995,0.78576,0.79681,0.32421,1.09246,0.000646085,0.000646085,0.000646085
104,1326.69,0.85126,0.47575,1.17643,0.99512,1,0.995,0.75784,0.91612,0.34789,1.18705,0.000640111,0.000640111,0.000640111
105,1339.28,0.86946,0.50298,1.20652,0.99087,1,0.995,0.76714,0.88276,0.35286,1.14341,0.000634117,0.000634117,0.000634117
106,1351.9,0.83883,0.48862,1.17689,0.9831,1,0.995,0.78723,0.79979,0.3386,1.07691,0.000628101,0.000628101,0.000628101
107,1370.84,0.89017,0.51351,1.19676,0.99406,1,0.995,0.75411,0.89127,0.34466,1.13051,0.000622067,0.000622067,0.000622067
108,1395.23,0.86228,0.49286,1.19764,0.99308,1,0.995,0.78581,0.80468,0.33562,1.08921,0.000616014,0.000616014,0.000616014
109,1407.78,0.84504,0.48981,1.17344,0.99242,1,0.995,0.7756,0.80997,0.33948,1.08993,0.000609944,0.000609944,0.000609944
110,1420.33,0.8512,0.49251,1.18576,0.99491,1,0.995,0.75646,0.8658,0.33612,1.16548,0.000603856,0.000603856,0.000603856
111,1432.9,0.81351,0.4813,1.16381,0.99496,1,0.995,0.75829,0.88616,0.3378,1.16934,0.000597754,0.000597754,0.000597754
112,1445.44,0.87176,0.49701,1.18418,0.98446,1,0.995,0.76533,0.83795,0.34315,1.12075,0.000591636,0.000591636,0.000591636
113,1457.91,0.87366,0.50737,1.20081,0.9958,1,0.995,0.73701,0.97664,0.36138,1.20651,0.000585505,0.000585505,0.000585505
114,1470.44,0.83579,0.47069,1.18528,0.99648,1,0.995,0.7822,0.83787,0.32214,1.11495,0.000579362,0.000579362,0.000579362
115,1482.93,0.8485,0.47256,1.1852,0.99816,1,0.995,0.76556,0.86576,0.33045,1.14491,0.000573206,0.000573206,0.000573206
116,1495.47,0.85364,0.50208,1.19981,0.99635,1,0.995,0.7411,0.94705,0.34446,1.19866,0.00056704,0.00056704,0.00056704
117,1507.98,0.85018,0.4642,1.17616,0.99755,1,0.995,0.78031,0.79875,0.3222,1.09259,0.000560864,0.000560864,0.000560864
118,1520.6,0.83028,0.46105,1.16087,0.9977,1,0.995,0.75812,0.88972,0.33472,1.14467,0.000554679,0.000554679,0.000554679
119,1533.11,0.8222,0.46221,1.17357,0.99714,1,0.995,0.7607,0.86227,0.33213,1.13657,0.000548486,0.000548486,0.000548486
120,1545.65,0.85306,0.4915,1.19487,0.99248,1,0.995,0.75488,0.83102,0.3258,1.1309,0.000542287,0.000542287,0.000542287
121,1558.17,0.83832,0.45282,1.18044,0.99125,0.89744,0.92834,0.73446,0.83959,0.32825,1.12309,0.000536081,0.000536081,0.000536081
122,1570.66,0.7908,0.47665,1.1382,0.9958,1,0.995,0.77072,0.85167,0.32636,1.14563,0.000529871,0.000529871,0.000529871
123,1583.18,0.81743,0.45229,1.16852,0.98737,1,0.995,0.76198,0.86213,0.33053,1.14744,0.000523657,0.000523657,0.000523657
124,1595.7,0.83402,0.47634,1.17822,0.99269,1,0.995,0.75585,0.85669,0.3296,1.14916,0.000517439,0.000517439,0.000517439
125,1608.23,0.82824,0.49558,1.18217,0.99629,1,0.995,0.78434,0.79081,0.32498,1.09784,0.00051122,0.00051122,0.00051122
126,1620.71,0.83726,0.48399,1.18053,0.99282,1,0.995,0.7776,0.82551,0.33458,1.10947,0.000505,0.000505,0.000505
127,1633.25,0.83745,0.47193,1.19186,0.99493,1,0.995,0.76869,0.83395,0.32923,1.12582,0.00049878,0.00049878,0.00049878
128,1645.79,0.82437,0.47204,1.17069,0.99115,1,0.99484,0.78213,0.81433,0.34877,1.11125,0.000492561,0.000492561,0.000492561
129,1658.37,0.81346,0.45765,1.16148,0.99283,0.99931,0.995,0.7685,0.83428,0.34314,1.12285,0.000486343,0.000486343,0.000486343
130,1670.91,0.84097,0.46775,1.17646,0.99432,1,0.995,0.76928,0.8422,0.32909,1.12961,0.000480129,0.000480129,0.000480129
131,1683.51,0.82645,0.45962,1.1678,0.99504,0.99,0.995,0.76841,0.86435,0.33308,1.12571,0.000473919,0.000473919,0.000473919
132,1696.05,0.79644,0.46142,1.14129,0.99729,0.99619,0.995,0.80776,0.73407,0.30282,1.05781,0.000467713,0.000467713,0.000467713
133,1708.91,0.77267,0.42769,1.13298,0.99579,1,0.995,0.76154,0.85246,0.31907,1.11396,0.000461514,0.000461514,0.000461514
134,1721.47,0.79943,0.44233,1.15047,0.99607,1,0.995,0.78209,0.78731,0.30928,1.08698,0.000455321,0.000455321,0.000455321
135,1733.99,0.81,0.44845,1.14942,0.99723,1,0.995,0.7936,0.81609,0.31136,1.09787,0.000449136,0.000449136,0.000449136
136,1746.52,0.80469,0.44535,1.16626,0.99579,1,0.995,0.80637,0.75211,0.29957,1.0709,0.00044296,0.00044296,0.00044296
137,1759.06,0.79237,0.4529,1.15714,0.99388,1,0.995,0.782,0.84127,0.31499,1.12068,0.000436794,0.000436794,0.000436794
138,1771.58,0.80449,0.46654,1.16902,0.99549,1,0.995,0.78603,0.83476,0.30999,1.1236,0.000430638,0.000430638,0.000430638
139,1784.11,0.78826,0.44972,1.14608,0.99328,1,0.995,0.78773,0.8267,0.31101,1.11337,0.000424495,0.000424495,0.000424495
140,1796.69,0.78287,0.43961,1.13561,0.98829,1,0.995,0.79372,0.81986,0.30553,1.11782,0.000418364,0.000418364,0.000418364
141,1809.22,0.80532,0.45767,1.15595,0.99483,1,0.995,0.79414,0.80398,0.30141,1.10411,0.000412246,0.000412246,0.000412246
142,1821.77,0.78429,0.43126,1.15712,0.99531,1,0.995,0.79446,0.8032,0.30312,1.09417,0.000406144,0.000406144,0.000406144
143,1834.3,0.7601,0.43986,1.13572,0.99413,1,0.995,0.77802,0.83272,0.31377,1.10705,0.000400056,0.000400056,0.000400056
144,1846.91,0.8036,0.43827,1.17337,0.99322,1,0.995,0.7883,0.83589,0.30981,1.11539,0.000393986,0.000393986,0.000393986
145,1859.46,0.7633,0.42755,1.11831,0.99543,1,0.995,0.8147,0.73722,0.29277,1.05468,0.000387933,0.000387933,0.000387933
146,1872.31,0.79662,0.44035,1.13928,0.99384,1,0.995,0.79233,0.78704,0.30787,1.07981,0.000381899,0.000381899,0.000381899
147,1884.86,0.79917,0.44675,1.14555,0.99475,1,0.995,0.79459,0.78894,0.31172,1.08832,0.000375883,0.000375883,0.000375883
148,1897.38,0.77825,0.45257,1.14025,0.99235,1,0.995,0.7892,0.79533,0.30719,1.09044,0.000369889,0.000369889,0.000369889
149,1909.89,0.79831,0.45071,1.13733,0.99005,1,0.995,0.78665,0.78941,0.30768,1.08892,0.000363915,0.000363915,0.000363915
150,1922.53,0.81356,0.45524,1.15409,0.99244,1,0.995,0.79494,0.79868,0.30486,1.09117,0.000357964,0.000357964,0.000357964
151,1935.02,0.79484,0.4479,1.13842,0.98978,1,0.995,0.78851,0.80917,0.30527,1.09592,0.000352037,0.000352037,0.000352037
152,1947.56,0.75618,0.41699,1.10871,0.99006,1,0.995,0.79163,0.81855,0.30955,1.10454,0.000346133,0.000346133,0.000346133
153,1960.08,0.77567,0.4266,1.13048,0.99535,1,0.995,0.79717,0.76639,0.2966,1.07152,0.000340254,0.000340254,0.000340254
154,1972.58,0.77043,0.4123,1.13866,0.99669,1,0.995,0.79503,0.81362,0.31507,1.10586,0.000334402,0.000334402,0.000334402
155,1985.09,0.77336,0.42258,1.12982,0.99509,1,0.995,0.79279,0.79236,0.3006,1.10891,0.000328576,0.000328576,0.000328576
156,1997.62,0.7423,0.42557,1.1165,0.99602,1,0.995,0.80379,0.73848,0.28578,1.06658,0.000322778,0.000322778,0.000322778
157,2010.13,0.76165,0.42728,1.12031,0.99552,1,0.995,0.80465,0.73241,0.29032,1.06336,0.000317009,0.000317009,0.000317009
158,2022.7,0.75708,0.414,1.11998,0.99475,1,0.995,0.81403,0.74241,0.30059,1.06852,0.00031127,0.00031127,0.00031127
